"利用日","利用店名・商品名","利用者","支払方法","利用金額","支払手数料","支払総額","4月支払金額","5月繰越残高","新規サイン"
"2025/04/04","ＥＴＣカード年会費／２６年０３月迄","本人","1回払い","550","0","0","0","0","*"
"","割引","","","-550","","","","",""
"2025/03/29","ｱﾂﾌﾟﾙ ｱｲﾁﾕ-ﾝｽﾞ ｽ","本人","1回払い","1990","0","1990","1990","0","*"
"2025/03/26","ｱﾂﾌﾟﾙ ｱｲﾁﾕ-ﾝｽﾞ ｽ","本人","1回払い","1500","0","1500","1500","0","*"
"2025/03/26","PAYPAL *STEAM GAMES利用国GB","本人","1回払い","2796","0","2796","2796","0","*"
"","現地利用額　　　　　　２７９６．０００変換レート　　　１．０００円","","","","","","","",""
"2025/03/24","ｱﾏｿﾞﾝ JP ﾏ-ｹﾂﾄﾌﾟ","本人","1回払い","950","0","950","950","0","*"
"2025/03/24","ﾃｷｻｽﾊﾝｽﾞ","本人","1回払い","4770","0","4770","4770","0","*"
"2025/03/23","ｱﾏｿﾞﾝ JP ﾏ-ｹﾂﾄﾌﾟ","本人","1回払い","500","0","500","500","0","*"
"2025/03/23","ｱﾏｿﾞﾝ JP ﾏ-ｹﾂﾄﾌﾟ","本人","1回払い","2980","0","2980","2980","0","*"
"2025/03/19","PAYPAL *STEAM GAMES利用国GB","本人","1回払い","3575","0","3575","3575","0","*"
"","現地利用額　　　　　　３５７５．０００変換レート　　　１．０００円","","","","","","","",""
"2025/03/17","MOBAL NARITA MOBAL N利用国JP","本人","1回払い","900","0","900","900","0","*"
"","現地利用額　　　　　　　９００．０００変換レート　　　１．０００円","","","","","","","",""
"2025/03/15","ﾗｸﾃﾝﾍﾟｲ ﾌﾞｲﾄﾞﾗﾂｸ","本人","1回払い","2866","0","2866","2866","0","*"
"2025/03/11","ｱﾂﾌﾟﾙ ｱｲﾁﾕ-ﾝｽﾞ ｽ","本人","1回払い","1340","0","1340","1340","0","*"
"2025/03/08","ｱﾂﾌﾟﾙ ｱｲﾁﾕ-ﾝｽﾞ ｽ","本人","1回払い","150","0","150","150","0","*"
"2025/03/07","ﾃｷｻｽﾊﾝｽﾞ","本人","1回払い","3860","0","3860","3860","0","*"
"2025/03/07","ﾗｸﾃﾝﾍﾟｲ ﾛ-ｿﾝ","本人","1回払い","4109","0","4109","4109","0","*"
"2025/03/05","ﾗｸﾃﾝﾍﾟｲ ﾛ-ｿﾝ","本人","1回払い","3406","0","3406","3406","0","*"
"2025/03/01","MOBAL NARITA MOBAL N利用国JP","本人","1回払い","1480","0","1480","1480","0","*"
"","現地利用額　　　　　　１４８０．０００変換レート　　　１．０００円","","","","","","","",""
